,EVENT MARKER,FLD TIME(sec.),RATIO_OF_MEANS_RG_corrected.1.1,RATIO_OF_MEANS_RG_corrected.1.2,RATIO_OF_MEANS_RG_corrected.1.3,RATIO_OF_MEANS_RG_corrected.1.4,RATIO_OF_MEANS_RG_corrected.1.5,RATIO_OF_MEANS_RG_corrected.1.6,RATIO_OF_MEANS_RG_corrected.1.7,RATIO_OF_MEANS_RG_corrected.1.8,RATIO_OF_MEANS_RG_corrected.1.9,RATIO_OF_MEANS_RG_corrected.1.10,RATIO_OF_MEANS_RG_corrected.1.11,RATIO_OF_MEANS_RG_corrected.1.12,RATIO_OF_MEANS_RG_corrected.1.13,RATIO_OF_MEANS_RG_corrected.1.14,RATIO_OF_MEANS_RG_corrected.1.15,RATIO_OF_MEANS_RG_corrected.1.16,RATIO_OF_MEANS_RG_corrected.1.17,RATIO_OF_MEANS_RG_corrected.1.18,RATIO_OF_MEANS_RG_corrected.1.19
1,Scan 0+HEPES,0,0.320579,0.281239,1.118084,0.295387,0.410474,0.525557,0.393171,0.461281,0.447218,0.358919,0.628739,0.508344,0.338009,0.351354,0.310296,0.822313,0.546554,0.350889,2.865453
2,,1.007045,0.323174,0.284939,1.155224,0.295973,0.415626,0.538573,0.397703,0.481332,0.451125,0.361267,0.654098,0.507945,0.342459,0.35423,0.318952,0.879419,0.540411,0.35581,2.815031
3,,2.014441,0.322695,0.28489,1.153486,0.298683,0.415996,0.533457,0.399209,0.480176,0.449515,0.36716,0.65834,0.496554,0.341686,0.357597,0.317314,0.911033,0.591582,0.357635,2.841886
4,,3.006713,0.319931,0.282031,1.141665,0.295982,0.414231,0.527161,0.395813,0.489283,0.446936,0.367128,0.632753,0.484405,0.34289,0.357384,0.315292,0.915894,0.571279,0.356831,2.762365
5,,4.01331,0.325967,0.285289,1.159105,0.300343,0.418953,0.524135,0.402875,0.497013,0.45168,0.368899,0.620227,0.481474,0.33911,0.359943,0.320064,0.94002,0.618417,0.360032,3.028678
6,,5.020677,0.325744,0.288429,1.141934,0.300398,0.419815,0.522548,0.405375,0.487093,0.45394,0.369551,0.603143,0.480198,0.346554,0.360449,0.32359,0.952208,0.60215,0.361506,2.932236
7,,6.012043,0.322255,0.284037,1.116443,0.29738,0.415003,0.519868,0.400858,0.462965,0.447753,0.36795,0.579208,0.458225,0.343233,0.357102,0.320926,0.920395,0.583961,0.355328,2.796835
8,,7.019556,0.324124,0.284028,1.145004,0.299457,0.419632,0.534915,0.40979,0.508966,0.450106,0.369293,0.599673,0.490388,0.344635,0.359576,0.318461,0.921721,0.564784,0.357361,2.926603
9,,8.010952,0.323427,0.283137,1.156014,0.299314,0.420323,0.527829,0.434677,0.460036,0.447868,0.368745,0.585536,0.477206,0.34471,0.356348,0.317621,0.887822,0.55044,0.355513,2.81409
10,,9.018241,0.322952,0.286975,1.155872,0.30133,0.416218,0.524363,0.441643,0.488537,0.449347,0.370226,0.601576,0.476026,0.340882,0.358283,0.319368,0.899092,0.548609,0.356396,3.059014
11,,10.009675,0.320595,0.283019,1.136138,0.300274,0.4149,0.516398,0.443094,0.49724,0.447121,0.367452,0.59064,0.494653,0.342923,0.358121,0.316339,0.873876,0.530897,0.353813,2.943534
12,,11.017139,0.32184,0.283015,1.139511,0.300077,0.415959,0.515107,0.440912,0.474237,0.447263,0.373416,0.569349,0.483681,0.341364,0.356806,0.319253,0.880651,0.535218,0.356944,2.763937
13,,12.024613,0.328847,0.290667,1.153377,0.306268,0.425218,0.519962,0.47942,0.500529,0.458454,0.377451,0.587169,0.491915,0.350481,0.366503,0.324917,0.892885,0.53782,0.360681,3.279569
14,,13.015785,0.325798,0.288736,1.156651,0.301674,0.421267,0.513354,0.479855,0.497862,0.452111,0.376318,0.581185,0.479448,0.345346,0.36059,0.323449,0.877432,0.519005,0.363119,2.969103
15,,14.023288,0.326866,0.288724,1.175231,0.302732,0.420119,0.531828,0.518089,0.501991,0.452873,0.378881,0.570777,0.469719,0.344874,0.365357,0.322448,0.865612,0.512331,0.364581,3.02697
16,,15.014645,0.322211,0.285096,1.174373,0.301449,0.415969,0.520796,0.550913,0.488003,0.447558,0.375606,0.544905,0.458489,0.342216,0.359595,0.321258,0.857137,0.493567,0.359584,3.159608
17,,16.022079,0.319215,0.281885,1.131883,0.298024,0.412437,0.532784,0.576965,0.484296,0.443411,0.369874,0.522313,0.449718,0.338213,0.358501,0.317247,0.841463,0.561812,0.354667,2.924059
18,,17.013466,0.323051,0.284381,1.125664,0.301311,0.414498,0.529734,0.578939,0.464211,0.447109,0.373333,0.523403,0.452374,0.340134,0.360324,0.318256,0.84319,0.538772,0.35679,2.951346
19,,18.020969,0.326444,0.290259,1.168197,0.306643,0.421636,0.534865,0.574845,0.524403,0.455448,0.379311,0.526282,0.458174,0.349581,0.369102,0.328972,0.867533,0.550201,0.365822,3.090696
20,,19.012403,0.323396,0.28839,1.160285,0.303842,0.417652,0.529816,0.552384,0.476421,0.452237,0.377218,0.538147,0.449276,0.343947,0.364373,0.32029,0.85792,0.527873,0.359571,2.899496
21,,20.019703,0.318486,0.281725,1.14349,0.299631,0.409809,0.517797,0.530104,0.487804,0.444619,0.371755,0.524986,0.441673,0.338614,0.353506,0.317517,0.858035,0.513475,0.353451,3.179411
22,,21.02701,0.325741,0.289114,1.165547,0.304948,0.417661,0.521673,0.526143,0.512633,0.453919,0.383019,0.522056,0.445633,0.345074,0.364268,0.324264,0.883766,0.516773,0.360949,2.934893
23,,22.018463,0.321694,0.286073,1.156614,0.301649,0.415537,0.518223,0.51361,0.49118,0.450267,0.381368,0.542555,0.468326,0.344656,0.361716,0.321248,0.864053,0.498916,0.357685,3.064365
24,,23.026016,0.323247,0.284758,1.14262,0.301818,0.415879,0.518884,0.499854,0.46739,0.453488,0.376881,0.560638,0.461302,0.345585,0.360882,0.319541,0.8564,0.491656,0.355435,3.005599
25,,24.017363,0.32796,0.288595,1.163118,0.305745,0.418015,0.52525,0.506302,0.483869,0.45934,0.388139,0.555782,0.466669,0.349027,0.366919,0.325546,0.885617,0.553546,0.362615,2.968115
26,,25.024788,0.321053,0.285617,1.138917,0.304578,0.4138,0.50386,0.480728,0.462134,0.454496,0.379976,0.579669,0.460252,0.342015,0.359097,0.318484,0.873987,0.531569,0.356282,2.938438
27,,26.01634,0.324891,0.287217,1.138062,0.306217,0.41702,0.502555,0.48093,0.486666,0.458813,0.383499,0.576534,0.481752,0.347654,0.364429,0.319318,0.881833,0.524019,0.358321,2.861233
28,,27.023832,0.323523,0.285015,1.153569,0.304708,0.413955,0.507354,0.475591,0.465817,0.452066,0.382501,0.593929,0.476207,0.344317,0.359793,0.320443,0.862118,0.517583,0.356837,2.865641
29,,28.030975,0.327568,0.28905,1.19513,0.307415,0.416532,0.535266,0.471878,0.493814,0.456582,0.3888,0.581325,0.481047,0.348453,0.365768,0.32384,0.850955,0.513126,0.362548,3.041072
30,,29.024368,0.326081,0.290307,1.199289,0.308192,0.416823,0.528623,0.459184,0.47977,0.458856,0.389287,0.563426,0.475223,0.34501,0.368592,0.323742,0.836285,0.505888,0.360385,3.013962
31,,30.031727,0.329685,0.291092,1.205296,0.312321,0.421309,0.535094,0.460748,0.511186,0.458618,0.393066,0.557173,0.481271,0.352569,0.369673,0.327378,0.817376,0.502522,0.365298,3.164318
32,,31.021145,0.327502,0.288724,1.188076,0.310061,0.420125,0.529827,0.456849,0.514258,0.459598,0.392045,0.54153,0.47242,0.347343,0.367594,0.324023,0.802662,0.494519,0.364273,3.076817
33,,32.0285,0.329689,0.290473,1.204992,0.311102,0.418182,0.545673,0.454061,0.522624,0.46212,0.39454,0.555015,0.474895,0.350726,0.370839,0.327484,0.793995,0.497314,0.367842,3.201698
34,,33.020012,0.329134,0.290578,1.187956,0.31005,0.418772,0.539387,0.446452,0.47469,0.459014,0.396408,0.554759,0.463392,0.350253,0.370648,0.325984,0.77083,0.484089,0.365995,3.015683
35,,34.027245,0.331217,0.287784,1.210641,0.310017,0.41814,0.536743,0.440883,0.500428,0.457662,0.396221,0.543669,0.453235,0.347183,0.371325,0.327914,0.758478,0.533406,0.361747,3.26166
36,,35.034485,0.325639,0.286108,1.158717,0.306986,0.412831,0.543295,0.431544,0.491605,0.449442,0.387401,0.525667,0.443855,0.342418,0.364457,0.320152,0.728246,0.518562,0.356733,3.175758
37,,36.026482,0.326493,0.28548,1.18495,0.310134,0.413659,0.543217,0.428872,0.485306,0.452581,0.390108,0.514831,0.43804,0.345908,0.364347,0.321594,0.723622,0.511389,0.357794,3.170165
38,,37.033333,0.329962,0.287656,1.189203,0.309443,0.418094,0.550788,0.428019,0.516054,0.45553,0.39016,0.533959,0.446219,0.350593,0.368422,0.324482,0.734366,0.510933,0.364929,3.42451
39,,38.024906,0.326853,0.286203,1.182991,0.310165,0.415167,0.532663,0.418725,0.494547,0.452229,0.386056,0.538114,0.429951,0.345172,0.364185,0.323268,0.722106,0.508437,0.361309,3.131667
40,,39.032536,0.327174,0.286392,1.184649,0.310178,0.412238,0.550317,0.425274,0.500899,0.451155,0.386635,0.527644,0.449159,0.345019,0.36548,0.325271,0.708699,0.544046,0.359618,3.027597
41,,40.040066,0.330439,0.290097,1.211475,0.310733,0.416534,0.552779,0.420645,0.515546,0.454698,0.389573,0.557695,0.448804,0.348613,0.370059,0.327793,0.696941,0.542733,0.363385,3.159577
42,,41.031338,0.329918,0.29002,1.224413,0.313311,0.417113,0.568713,0.416329,0.500349,0.453939,0.398782,0.545779,0.450989,0.347879,0.371582,0.328317,0.698544,0.530259,0.362765,3.125242
43,,42.038837,0.329695,0.29103,1.16406,0.315172,0.416862,0.561343,0.419437,0.493798,0.457148,0.40246,0.538867,0.438821,0.350555,0.371002,0.327949,0.693257,0.524362,0.365894,2.900616
44,,43.030148,0.329121,0.288568,1.168002,0.310907,0.416434,0.55028,0.417437,0.516309,0.453732,0.404018,0.527849,0.440916,0.348434,0.370419,0.326433,0.679318,0.572488,0.362762,3.234945
45,,44.037739,0.33088,0.290767,1.159808,0.314154,0.416522,0.55024,0.417679,0.468028,0.45365,0.406997,0.518443,0.435552,0.350713,0.373753,0.326971,0.673322,0.557898,0.366521,2.948965
46,,45.02961,0.333587,0.291663,1.232806,0.31785,0.424802,0.549673,0.419226,0.51154,0.459565,0.417302,0.54571,0.437286,0.355698,0.378041,0.330664,0.678036,0.552257,0.370204,3.254591
47,,46.036549,0.33086,0.291948,1.171919,0.315139,0.419738,0.547155,0.410113,0.468385,0.454685,0.41499,0.528561,0.427037,0.348596,0.372188,0.326277,0.656965,0.569859,0.36592,2.934368
48,,47.028862,0.322399,0.282997,1.151204,0.306041,0.408664,0.534441,0.396126,0.460305,0.441735,0.40488,0.501741,0.411797,0.34039,0.360018,0.320145,0.633052,0.537248,0.355498,2.881848
49,,48.035645,0.32949,0.288754,1.168757,0.312461,0.413978,0.535378,0.400983,0.474248,0.451858,0.416016,0.537437,0.421039,0.348837,0.370498,0.322893,0.642622,0.543949,0.364666,3.237913
50,,49.027008,0.333284,0.292751,1.20337,0.319517,0.42155,0.537891,0.405152,0.501033,0.459717,0.427063,0.538146,0.424303,0.357735,0.37905,0.33004,0.648949,0.541267,0.369814,3.083354
51,,50.034416,0.33201,0.291894,1.189447,0.318046,0.425018,0.535339,0.402029,0.526486,0.45812,0.429288,0.527804,0.423664,0.354434,0.376422,0.333205,0.631304,0.532904,0.36805,3.104476
52,,51.042202,0.327448,0.29018,1.192262,0.31327,0.418735,0.527017,0.391603,0.494825,0.450803,0.425005,0.572316,0.420561,0.347078,0.371052,0.326341,0.618386,0.547113,0.359913,3.171021
53,,52.033779,0.333301,0.292474,1.210188,0.317058,0.422924,0.527057,0.398866,0.498061,0.455121,0.43043,0.560027,0.419336,0.351436,0.37446,0.332855,0.619722,0.54416,0.366453,3.331785
54,,53.040623,0.327876,0.288474,1.178172,0.313297,0.417483,0.511218,0.388343,0.514152,0.44726,0.431533,0.54282,0.415583,0.347642,0.370413,0.326906,0.602198,0.540489,0.361937,3.049664
55,,54.032154,0.329721,0.290819,1.204515,0.315588,0.419853,0.50877,0.391066,0.495558,0.451123,0.434336,0.528031,0.418725,0.350995,0.368728,0.326511,0.590916,0.578511,0.363407,3.221642
56,,55.040485,0.328578,0.289815,1.210747,0.31255,0.419154,0.50812,0.387195,0.486428,0.451579,0.434194,0.518226,0.412393,0.348804,0.373639,0.331616,0.60362,0.562738,0.366582,3.303473
57,,56.030762,0.328607,0.291211,1.223094,0.313377,0.420355,0.517497,0.384629,0.503591,0.453855,0.439994,0.513858,0.411527,0.350065,0.373479,0.33144,0.603646,0.546712,0.362751,3.307072
58,,57.038837,0.327699,0.289072,1.152018,0.31459,0.418011,0.507478,0.380845,0.476735,0.451984,0.439407,0.537705,0.40818,0.350506,0.369777,0.32587,0.605188,0.536493,0.364068,3.187222
59,,58.030331,0.328158,0.288602,1.205005,0.312531,0.41492,0.510043,0.375591,0.517568,0.449238,0.440191,0.552121,0.412337,0.350657,0.371926,0.328936,0.60326,0.530129,0.360699,3.446825
60,,59.037025,0.329678,0.291086,1.206165,0.313266,0.423075,0.519439,0.383568,0.489356,0.456697,0.444958,0.569614,0.411191,0.352445,0.371483,0.328076,0.601258,0.52052,0.363666,3.470053
61,,60.044384,0.329626,0.292346,1.251629,0.315633,0.422827,0.515869,0.383395,0.481949,0.457013,0.445648,0.561223,0.412572,0.353937,0.375015,0.334106,0.607343,0.586279,0.367985,3.277785
62,,61.03614,0.332724,0.293848,1.20129,0.316794,0.425396,0.518249,0.376307,0.491303,0.456946,0.441922,0.58306,0.417617,0.354783,0.37531,0.336297,0.596366,0.57232,0.365994,3.283956
63,,62.044605,0.329939,0.289727,1.184252,0.314445,0.418051,0.512256,0.377591,0.498802,0.455821,0.438119,0.564682,0.406696,0.351676,0.373859,0.328458,0.596195,0.558633,0.362713,3.260581
64,,63.03455,0.330192,0.291449,1.20859,0.314302,0.425128,0.525973,0.37796,0.490224,0.455952,0.436929,0.553259,0.406003,0.354758,0.374313,0.328846,0.595604,0.545477,0.364689,3.258169
65,,64.042114,0.33058,0.293,1.213295,0.314018,0.421748,0.529198,0.378737,0.50705,0.458499,0.439102,0.550047,0.406388,0.353545,0.378571,0.333331,0.594287,0.537393,0.365328,3.418163
66,,65.049431,0.329111,0.291918,1.162946,0.313445,0.420738,0.516903,0.376372,0.470756,0.452689,0.437355,0.571761,0.400195,0.352298,0.371495,0.32902,0.587484,0.520604,0.363655,3.119111
